Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster,Perfil
Male,Single,67,University,124670,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Female,Non-single,22,High school,150773,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,49,High school,89210,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,45,High school,171565,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,53,High school,149031,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,35,High school,144848,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,53,High school,156495,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,35,High school,193621,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Male,Non-single,61,University,151591,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Non-single,28,High school,174646,Management/Highly qualified,Small city,0,Adultos - Alta Renda
Female,Non-single,25,High school,108469,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,24,High school,127596,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,22,High school,108687,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,60,University,89374,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Female,Non-single,28,High school,102899,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,32,High school,88428,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,53,High school,125550,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Single,25,Other/Unknown,157434,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,44,University,261952,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,31,Other/Unknown,144657,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,48,High school,118777,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,44,High school,147511,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,48,High school,89804,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,44,High school,134918,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Non-single,26,High school,103667,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,36,High school,71909,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,39,High school,68264,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,42,University,163025,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,34,High school,119307,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,63,University,175882,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Non-single,36,High school,159646,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,120131,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,162745,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,57,University,87605,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,33,High school,155569,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,25,Other/Unknown,104505,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,31,Other/Unknown,143385,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,37,High school,127676,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,37,High school,119276,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,24,Other/Unknown,92542,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,163329,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,26,High school,130921,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,44,High school,133658,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,24,High school,155104,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,58,University,142335,Unemployed/Unskilled,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,35,High school,138387,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,39,High school,140182,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,23,High school,65421,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,39,High school,130500,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Female,Non-single,28,High school,122831,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,29,Other/Unknown,84531,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,180196,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,25,Other/Unknown,92058,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,31,Other/Unknown,117158,Skilled employee/Official,Small city,0,Adultos - Alta Renda
